id,name,faculty_or_school,degree_or_award,category,mode,duration_or_units,admissions_choice_name,specialisations_or_majors,source_url,source_title,evidence_confidence,notes,duplicate_name_note
nus-ug-011,BBA Major: Operations and Supply Chain Management,NUS Business School,Major within Bachelor of Business Administration (Honours),major,full-time,within 160-unit BBA curriculum,Business Administration,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-012,BBA Major: Real Estate,NUS Business School,Major within Bachelor of Business Administration (Honours),major,full-time,within 160-unit BBA curriculum,Business Administration,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-business/undergraduate-education,NUS Bulletin AY2025/26 — School of Business Undergraduate Education,high,,
nus-ug-013,Bachelor of Computing in Computer Science,School of Computing,Bachelor of Computing (Honours) in Computer Science,degree_programme,full-time,four-year / at least 160 units,Common Computer Science Programmes,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/,NUS Bulletin AY2025/26 — School of Computing Undergraduate Education,high,,
nus-ug-014,Bachelor of Computing in Information Security,School of Computing,Bachelor of Computing (Honours) in Information Security,degree_programme,full-time,four-year / at least 160 units,Information Security,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/,NUS Bulletin AY2025/26 — School of Computing Undergraduate Education,high,,
nus-ug-015,Bachelor of Science in Business Analytics,School of Computing,Bachelor of Science (Business Analytics),degree_programme,full-time,four-year direct honours / 160 units,Business Analytics,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/,NUS Bulletin AY2025/26 — School of Computing Undergraduate Education,high,,
nus-ug-016,Bachelor of Computing in Business Artificial Intelligence Systems,School of Computing,Bachelor of Computing (Honours) in Business Artificial Intelligence Systems,degree_programme,full-time,four-year / 160 units,Business Artificial Intelligence Systems (formerly known as 'Information Systems'),,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/,NUS Bulletin AY2025/26 — School of Computing Undergraduate Education,high,,
nus-ug-017,Bachelor of Computing in Artificial Intelligence,School of Computing,Bachelor of Computing (Honours) in Artificial Intelligence,degree_programme,full-time,four-year / 160 units,Common Computer Science Programmes,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/,NUS Bulletin AY2025/26 — School of Computing Undergraduate Education,high,,
nus-ug-018,Bachelor of Engineering in Computer Engineering,School of Computing / College of Design and Engineering,Bachelor of Engineering in Computer Engineering,degree_programme,full-time,four-year / 160 units,Computer Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/school-of-computing/undergraduate-education/,NUS Bulletin AY2025/26 — School of Computing Undergraduate Education,high,,
nus-ug-019,Bachelor of Arts (Architecture),College of Design and Engineering,Bachelor of Arts (Architecture),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Architecture,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-020,Bachelor of Arts (Industrial Design),College of Design and Engineering,Bachelor of Arts (Industrial Design),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Industrial Design,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-021,Bachelor of Engineering (Biomedical Engineering),College of Design and Engineering,Bachelor of Engineering (Biomedical Engineering),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-022,Bachelor of Engineering (Chemical Engineering),College of Design and Engineering,Bachelor of Engineering (Chemical Engineering),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-023,Bachelor of Engineering (Civil Engineering),College of Design and Engineering,Bachelor of Engineering (Civil Engineering),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-024,Bachelor of Engineering (Computer Engineering),College of Design and Engineering,Bachelor of Engineering (Computer Engineering),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Computer Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-025,Bachelor of Engineering (Electrical Engineering),College of Design and Engineering,Bachelor of Engineering (Electrical Engineering),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-026,Bachelor of Engineering (Engineering Science),College of Design and Engineering,Bachelor of Engineering (Engineering Science),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-027,Bachelor of Engineering (Environmental and Sustainability Engineering),College of Design and Engineering,Bachelor of Engineering (Environmental and Sustainability Engineering),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-028,Bachelor of Engineering (Industrial and Systems Engineering),College of Design and Engineering,Bachelor of Engineering (Industrial and Systems Engineering),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-029,Bachelor of Engineering (Infrastructure and Project Management),College of Design and Engineering,Bachelor of Engineering (Infrastructure and Project Management),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-030,Bachelor of Engineering (Materials Science and Engineering),College of Design and Engineering,Bachelor of Engineering (Materials Science and Engineering),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-031,Bachelor of Engineering (Mechanical Engineering),College of Design and Engineering,Bachelor of Engineering (Mechanical Engineering),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-032,Bachelor of Engineering (Robotics and Machine Intelligence),College of Design and Engineering,Bachelor of Engineering (Robotics and Machine Intelligence),degree_programme,full-time,160 units for cohorts 2025/26 onwards,Engineering,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-033,Bachelor of Landscape Architecture,College of Design and Engineering,Bachelor of Landscape Architecture,degree_programme,full-time,160 units for cohorts 2025/26 onwards,Landscape Architecture,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/college-of-design-and-engineering/undergraduate-education/,NUS Bulletin AY2025/26 — College of Design and Engineering Undergraduate Education,high,,
nus-ug-034,"Bachelor of Arts (Honours) in Philosophy, Politics, and Economics",College of Humanities and Sciences / FASS,Bachelor of Arts (Honours),cross_disciplinary_degree,full-time,four-year honours programme,"Philosophy, Politics and Economics (PPE)",,https://chs.nus.edu.sg/programmes/,NUS College of Humanities and Sciences — Programmes,high,,
nus-ug-035,Bachelor of Science (Honours) in Data Science and Economics,College of Humanities and Sciences,Bachelor of Science (Honours),cross_disciplinary_degree,full-time,four-year honours programme,Data Science & Economics,,https://chs.nus.edu.sg/programmes/,NUS College of Humanities and Sciences — Programmes,high,,
nus-ug-036,Bachelor of Environmental Studies (Honours),College of Humanities and Sciences / FASS / Faculty of Science,Bachelor of Environmental Studies (Honours),cross_disciplinary_degree,full-time,four-year honours programme,Environmental Studies,,https://chs.nus.edu.sg/programmes/,NUS College of Humanities and Sciences — Programmes,high,,Same display name appears in multiple official contexts/sources; keep source-specific record for provenance.
nus-ug-037,Bachelor of Science (Honours) in Geospatial Intelligence,College of Humanities and Sciences,Bachelor of Science (Honours),cross_disciplinary_degree,full-time,four-year honours programme,Humanities & Sciences,,https://chs.nus.edu.sg/programmes/,NUS College of Humanities and Sciences — Programmes,high,,
nus-ug-038,BSc (Hons) Major: Chemistry,Faculty of Science / College of Humanities and Sciences,Bachelor of Science (Honours),major,full-time,four-year honours programme / 160 units,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-039,BSc (Hons) Major: Data Science and Analytics,Faculty of Science / College of Humanities and Sciences,Bachelor of Science (Honours),major,full-time,four-year honours programme / 160 units,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-040,BSc (Hons) Major: Food Science and Technology,Faculty of Science / College of Humanities and Sciences,Bachelor of Science (Honours),major,full-time,four-year honours programme / 160 units,Food Science & Technology,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-041,BSc (Hons) Major: Life Sciences,Faculty of Science / College of Humanities and Sciences,Bachelor of Science (Honours),major,full-time,four-year honours programme / 160 units,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-042,BSc (Hons) Major: Mathematics,Faculty of Science / College of Humanities and Sciences,Bachelor of Science (Honours),major,full-time,four-year honours programme / 160 units,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-043,BSc (Hons) Major: Pharmaceutical Science,Faculty of Science / College of Humanities and Sciences,Bachelor of Science (Honours),major,full-time,four-year honours programme / 160 units,Pharmaceutical Science,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-044,BSc (Hons) Major: Physics,Faculty of Science / College of Humanities and Sciences,Bachelor of Science (Honours),major,full-time,four-year honours programme / 160 units,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-045,BSc (Hons) Major: Quantitative Finance,Faculty of Science / College of Humanities and Sciences,Bachelor of Science (Honours),major,full-time,four-year honours programme / 160 units,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-046,BSc (Hons) Major: Statistics,Faculty of Science / College of Humanities and Sciences,Bachelor of Science (Honours),major,full-time,four-year honours programme / 160 units,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-047,BSc (Hons) Major: Data Science and Economics,Faculty of Science / College of Humanities and Sciences,Bachelor of Science (Honours),major,full-time,four-year honours programme / 160 units,Data Science & Economics,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-048,Bachelor of Pharmacy / Bachelor of Pharmacy (Honours),Faculty of Science / Department of Pharmacy,Bachelor of Pharmacy or Bachelor of Pharmacy (Honours),degree_programme,full-time,four-year / 160 units,Pharmacy,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,
nus-ug-049,Bachelor of Environmental Studies (Honours),Faculty of Science / FASS / CHS,Bachelor of Environmental Studies (Honours),cross_disciplinary_degree,full-time,four-year honours programme,Environmental Studies,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-science/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Science Undergraduate Education,high,,Same display name appears in multiple official contexts/sources; keep source-specific record for provenance.
nus-ug-050,FASS Major: Chinese Language,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-051,FASS Major: Chinese Studies,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-052,FASS Major: Communications and New Media,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-053,FASS Major: Economics,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-054,FASS Major: English Language and Linguistics,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-055,FASS Major: English Literature,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-056,FASS Major: Geography,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-057,FASS Major: Global Studies,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-058,FASS Major: History,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-059,FASS Major: Japanese Studies,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-060,FASS Major: Malay Studies,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-061,FASS Major: Philosophy,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-062,FASS Major: Political Science,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-063,FASS Major: Psychology,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-064,FASS Major: Social Work,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-065,FASS Major: Sociology,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-066,FASS Major: South Asian Studies,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-067,FASS Major: Southeast Asian Studies,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-068,FASS Major: Theatre and Performance Studies,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-069,"FASS Major: Philosophy, Political Science, and Economics (PPE) Programme",Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,"Philosophy, Politics and Economics (PPE)",,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-070,FASS Major: Anthropology,Faculty of Arts & Social Sciences / College of Humanities and Sciences,"Bachelor of Arts (Honours) or Bachelor of Social Sciences (Honours), depending on major/department rules",major,full-time,four-year honours programme,Humanities & Sciences,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-arts-and-social-sciences/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Arts & Social Sciences Undergraduate Education,high,,
nus-ug-071,CHS Primary Major: Chinese Languages and Cultures,College of Humanities and Sciences,"Four-year honours degree leading to BA, BSocSci or BSc (major-dependent)",major,full-time,four-year honours programme,Humanities & Sciences,,https://chs.nus.edu.sg/programmes/,NUS College of Humanities and Sciences — Programmes,high,,
nus-ug-072,CHS Primary Major: Chinese Studies (Bilingual),College of Humanities and Sciences,"Four-year honours degree leading to BA, BSocSci or BSc (major-dependent)",major,full-time,four-year honours programme,Humanities & Sciences,,https://chs.nus.edu.sg/programmes/,NUS College of Humanities and Sciences — Programmes,high,,
nus-ug-073,Bachelor of Laws,Faculty of Law,Bachelor of Laws (Honours),degree_programme,full-time,four-year full-time / minimum 160 units,Law,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/faculty-of-law/undergraduate-education/,NUS Bulletin AY2025/26 — Faculty of Law Undergraduate Education,high,"Professional law degree recognised for admission to practice in Singapore, subject to applicable professional rules.",
nus-ug-074,Bachelor of Medicine and Bachelor of Surgery,Yong Loo Lin School of Medicine,MBBS,degree_programme,full-time,five-year full-time,Medicine,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/yong-loo-lin-school-of-medicine-including-nursing/undergraduate-education/,NUS Bulletin AY2025/26 — Yong Loo Lin School of Medicine Undergraduate Education,high,,
nus-ug-075,Bachelor of Science (Nursing) / Bachelor of Science (Nursing) (Honours),Yong Loo Lin School of Medicine / Alice Lee Centre for Nursing Studies,BSc (Nursing) / BSc (Nursing)(Honours),degree_programme,full-time,BSc exit after three years; honours path four years / 160 units,Nursing,,https://www.nus.edu.sg/nusbulletin/ay202526/programmes/yong-loo-lin-school-of-medicine-including-nursing/undergraduate-education/,NUS Bulletin AY2025/26 — Yong Loo Lin School of Medicine Undergraduate Education,high,,
